wrong_code,correct_code,reason
ML-2-125,MK-2-125,typo (L should be K) - course Trender i konst och kultur / Kreativ framtid
MK-2-172,MK-2-131,non-existent code; course is Produktion i broadcastmiljö (MK-2-131)
